"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"262"	87	262	5	0	"Genetic"
"263"	88	263	5	0	"Genetic"
"264"	88	264	5	0	"Genetic"
"265"	89	265	5	0	"Genetic"
"266"	89	266	5	1	"Genetic"
"267"	96	267	5	0	"Genetic"
"268"	99	268	5	0	"Genetic"
"269"	100	269	5	0	"Genetic"
"270"	105	270	5	1	"Genetic"
"271"	115	271	5	1	"Genetic"
"272"	115	272	5	0	"Genetic"
"273"	119	273	5	0	"Genetic"
"274"	119	274	5	0	"Genetic"
"275"	119	275	5	0	"Genetic"
"276"	154	276	5	1	"Genetic"
"277"	158	277	5	0	"Genetic"
"278"	160	278	5	0	"Genetic"
"279"	166	279	5	0	"Genetic"
"280"	166	280	5	0	"Genetic"
"281"	171	281	5	1	"Genetic"
"282"	173	282	5	1	"Genetic"
"283"	173	283	5	0	"Genetic"
"284"	178	284	5	0	"Genetic"
"285"	181	285	5	0	"Genetic"
"286"	185	286	5	0	"Genetic"
"287"	188	287	5	0	"Genetic"
"288"	188	288	5	1	"Genetic"
"289"	197	289	5	0	"Genetic"
"290"	198	290	5	0	"Genetic"
"291"	203	291	5	0	"Genetic"
"292"	205	292	5	0	"Genetic"
"293"	208	293	5	1	"Genetic"
"294"	212	294	5	0	"Genetic"
"295"	212	295	5	1	"Genetic"
"296"	212	296	5	0	"Genetic"
"297"	217	297	5	0	"Genetic"
"298"	1	298	4	0	"Genetic"
"299"	1	299	4	0	"Genetic"
"300"	4	300	4	4	"Genetic"
"301"	4	301	4	0	"Genetic"
"302"	4	302	4	0	"Genetic"
"303"	4	303	4	1	"Genetic"
"304"	6	304	4	1	"Genetic"
"305"	6	305	4	1	"Genetic"
"306"	6	306	4	1	"Genetic"
"307"	6	307	4	1	"Genetic"
"308"	8	308	4	0	"Genetic"
"309"	10	309	4	0	"Genetic"
"310"	10	310	4	0	"Genetic"
"311"	11	311	4	0	"Genetic"
"312"	15	312	4	1	"Genetic"
"313"	15	313	4	0	"Genetic"
"314"	17	314	4	0	"Genetic"
"315"	19	315	4	0	"Genetic"
"316"	24	316	4	0	"Genetic"
"317"	28	317	4	0	"Genetic"
"318"	36	318	4	0	"Genetic"
"319"	36	319	4	0	"Genetic"
"320"	39	320	4	1	"Genetic"
"321"	40	321	4	1	"Genetic"
"322"	42	322	4	0	"Genetic"
"323"	48	323	4	0	"Genetic"
"324"	48	324	4	0	"Genetic"
"325"	49	325	4	0	"Genetic"
"326"	50	326	4	0	"Genetic"
"327"	50	327	4	0	"Genetic"
"328"	50	328	4	0	"Genetic"
"329"	50	329	4	0	"Genetic"
"330"	50	330	4	0	"Genetic"
"331"	50	331	4	0	"Genetic"
"332"	57	332	4	0	"Genetic"
"333"	59	333	4	0	"Genetic"
"334"	59	334	4	1	"Genetic"
"335"	59	335	4	0	"Genetic"
"336"	59	336	4	0	"Genetic"
"337"	60	337	4	0	"Genetic"
"338"	61	338	4	1	"Genetic"
"339"	61	339	4	1	"Genetic"
"340"	64	340	4	4	"Genetic"
"341"	65	341	4	0	"Genetic"
"342"	69	342	4	1	"Genetic"
"343"	70	343	4	1	"Genetic"
"344"	70	344	4	0	"Genetic"
"345"	75	345	4	0	"Genetic"
"346"	75	346	4	0	"Genetic"
"347"	78	347	4	0	"Genetic"
"348"	82	348	4	1	"Genetic"
"349"	87	349	4	1	"Genetic"
"350"	89	350	4	0	"Genetic"
"351"	89	351	4	0	"Genetic"
"352"	89	352	4	0	"Genetic"
"353"	94	353	4	0	"Genetic"
"354"	94	354	4	0	"Genetic"
"355"	96	355	4	0	"Genetic"
"356"	99	356	4	0	"Genetic"
"357"	103	357	4	0	"Genetic"
"358"	108	358	4	0	"Genetic"
"359"	108	359	4	0	"Genetic"
"360"	112	360	4	0	"Genetic"
"361"	112	361	4	0	"Genetic"
"362"	112	362	4	0	"Genetic"
"363"	112	363	4	0	"Genetic"
"364"	115	364	4	0	"Genetic"
"365"	115	365	4	1	"Genetic"
"366"	115	366	4	0	"Genetic"
"367"	115	367	4	1	"Genetic"
"368"	115	368	4	1	"Genetic"
"369"	115	369	4	1	"Genetic"
"370"	115	370	4	1	"Genetic"
"371"	116	371	4	0	"Genetic"
"372"	129	372	4	0	"Genetic"
"373"	138	373	4	0	"Genetic"
"374"	138	374	4	0	"Genetic"
"375"	142	375	4	1	"Genetic"
"376"	146	376	4	0	"Genetic"
"377"	146	377	4	0	"Genetic"
"378"	148	378	4	1	"Genetic"
"379"	155	379	4	0	"Genetic"
"380"	155	380	4	0	"Genetic"
"381"	166	381	4	0	"Genetic"
"382"	171	382	4	0	"Genetic"
"383"	181	383	4	0	"Genetic"
"384"	185	384	4	0	"Genetic"
"385"	187	385	4	0	"Genetic"
"386"	188	386	4	0	"Genetic"
"387"	205	387	4	0	"Genetic"
"388"	210	388	4	0	"Genetic"
"389"	230	389	4	0	"Genetic"
"390"	231	390	4	0	"Genetic"
"391"	239	391	4	0	"Genetic"
"392"	241	392	4	1	"Genetic"
"393"	246	393	4	1	"Genetic"
"394"	246	394	4	1	"Genetic"
"395"	250	395	4	0	"Genetic"
"396"	250	396	4	0	"Genetic"
"397"	252	397	4	0	"Genetic"
"398"	252	398	4	0	"Genetic"
"399"	259	399	4	0	"Genetic"
"400"	264	400	4	1	"Genetic"
"401"	280	401	4	0	"Genetic"
"402"	281	402	4	0	"Genetic"
"403"	294	403	4	1	"Genetic"
"404"	1	404	3	0	"Genetic"
"405"	6	405	3	1	"Genetic"
"406"	6	406	3	1	"Genetic"
"407"	6	407	3	0	"Genetic"
"408"	6	408	3	1	"Genetic"
"409"	6	409	3	1	"Genetic"
"410"	9	410	3	1	"Genetic"
"411"	10	411	3	0	"Genetic"
"412"	10	412	3	0	"Genetic"
"413"	11	413	3	0	"Genetic"
"414"	12	414	3	1	"Genetic"
"415"	13	415	3	1	"Genetic"
"416"	13	416	3	0	"Genetic"
"417"	14	417	3	0	"Genetic"
"418"	17	418	3	0	"Genetic"
"419"	17	419	3	0	"Genetic"
"420"	18	420	3	1	"Genetic"
"421"	20	421	3	1	"Genetic"
"422"	20	422	3	1	"Genetic"
"423"	20	423	3	1	"Genetic"
"424"	23	424	3	1	"Genetic"
"425"	26	425	3	0	"Genetic"
"426"	26	426	3	0	"Genetic"
"427"	26	427	3	0	"Genetic"
"428"	26	428	3	0	"Genetic"
"429"	26	429	3	0	"Genetic"
"430"	26	430	3	0	"Genetic"
"431"	28	431	3	1	"Genetic"
"432"	32	432	3	0	"Genetic"
"433"	32	433	3	0	"Genetic"
"434"	32	434	3	0	"Genetic"
"435"	33	435	3	1	"Genetic"
"436"	41	436	3	0	"Genetic"
"437"	44	437	3	0	"Genetic"
"438"	47	438	3	0	"Genetic"
"439"	52	439	3	0	"Genetic"
"440"	53	440	3	0	"Genetic"
"441"	54	441	3	0	"Genetic"
"442"	54	442	3	0	"Genetic"
"443"	54	443	3	0	"Genetic"
"444"	54	444	3	0	"Genetic"
"445"	54	445	3	0	"Genetic"
"446"	54	446	3	0	"Genetic"
"447"	54	447	3	0	"Genetic"
"448"	54	448	3	0	"Genetic"
"449"	57	449	3	0	"Genetic"
"450"	60	450	3	0	"Genetic"
"451"	60	451	3	0	"Genetic"
"452"	61	452	3	0	"Genetic"
"453"	61	453	3	0	"Genetic"
"454"	61	454	3	0	"Genetic"
"455"	65	455	3	0	"Genetic"
"456"	69	456	3	1	"Genetic"
"457"	76	457	3	0	"Genetic"
"458"	78	458	3	0	"Genetic"
"459"	78	459	3	0	"Genetic"
"460"	81	460	3	1	"Genetic"
"461"	83	461	3	0	"Genetic"
"462"	84	462	3	1	"Genetic"
"463"	89	463	3	0	"Genetic"
"464"	90	464	3	1	"Genetic"
"465"	90	465	3	1	"Genetic"
"466"	90	466	3	1	"Genetic"
"467"	92	467	3	1	"Genetic"
"468"	92	468	3	0	"Genetic"
"469"	95	469	3	0	"Genetic"
"470"	98	470	3	0	"Genetic"
"471"	98	471	3	0	"Genetic"
"472"	98	472	3	1	"Genetic"
"473"	98	473	3	1	"Genetic"
"474"	99	474	3	0	"Genetic"
"475"	100	475	3	0	"Genetic"
"476"	100	476	3	1	"Genetic"
"477"	101	477	3	0	"Genetic"
"478"	103	478	3	0	"Genetic"
"479"	111	479	3	0	"Genetic"
"480"	114	480	3	1	"Genetic"
"481"	115	481	3	1	"Genetic"
"482"	115	482	3	1	"Genetic"
"483"	115	483	3	1	"Genetic"
"484"	115	484	3	1	"Genetic"
"485"	115	485	3	1	"Genetic"
"486"	116	486	3	1	"Genetic"
"487"	119	487	3	1	"Genetic"
"488"	125	488	3	0	"Genetic"
"489"	133	489	3	0	"Genetic"
"490"	133	490	3	0	"Genetic"
"491"	135	491	3	0	"Genetic"
"492"	137	492	3	0	"Genetic"
"493"	146	493	3	0	"Genetic"
"494"	149	494	3	2	"Genetic"
"495"	155	495	3	0	"Genetic"
"496"	158	496	3	0	"Genetic"
"497"	174	497	3	1	"Genetic"
"498"	176	498	3	0	"Genetic"
"499"	179	499	3	0	"Genetic"
"500"	181	500	3	0	"Genetic"
"501"	190	501	3	0	"Genetic"
"502"	192	502	3	1	"Genetic"
"503"	194	503	3	1	"Genetic"
"504"	195	504	3	0	"Genetic"
"505"	195	505	3	1	"Genetic"
"506"	195	506	3	1	"Genetic"
"507"	197	507	3	0	"Genetic"
"508"	199	508	3	0	"Genetic"
"509"	201	509	3	1	"Genetic"
"510"	202	510	3	0	"Genetic"
"511"	202	511	3	0	"Genetic"
"512"	206	512	3	1	"Genetic"
"513"	207	513	3	0	"Genetic"
"514"	211	514	3	0	"Genetic"
"515"	212	515	3	0	"Genetic"
"516"	214	516	3	1	"Genetic"
"517"	215	517	3	0	"Genetic"
"518"	221	518	3	0	"Genetic"
"519"	226	519	3	1	"Genetic"
"520"	230	520	3	0	"Genetic"
"521"	239	521	3	0	"Genetic"
"522"	241	522	3	0	"Genetic"
"523"	241	523	3	0	"Genetic"
"524"	241	524	3	1	"Genetic"
"525"	241	525	3	1	"Genetic"
"526"	241	526	3	1	"Genetic"
"527"	245	527	3	1	"Genetic"
"528"	250	528	3	0	"Genetic"
"529"	267	529	3	0	"Genetic"
"530"	268	530	3	0	"Genetic"
"531"	269	531	3	0	"Genetic"
"532"	279	532	3	0	"Genetic"
"533"	284	533	3	0	"Genetic"
"534"	291	534	3	0	"Genetic"
"535"	292	535	3	1	"Genetic"
"536"	298	536	3	0	"Genetic"
"537"	309	537	3	1	"Genetic"
"538"	309	538	3	0	"Genetic"
"539"	315	539	3	0	"Genetic"
"540"	326	540	3	0	"Genetic"
"541"	326	541	3	0	"Genetic"
"542"	328	542	3	0	"Genetic"
"543"	333	543	3	1	"Genetic"
"544"	333	544	3	1	"Genetic"
"545"	335	545	3	1	"Genetic"
"546"	341	546	3	1	"Genetic"
"547"	353	547	3	1	"Genetic"
"548"	362	548	3	0	"Genetic"
"549"	362	549	3	0	"Genetic"
"550"	373	550	3	0	"Genetic"
"551"	375	551	3	0	"Genetic"
"552"	387	552	3	0	"Genetic"
"553"	397	553	3	0	"Genetic"
"554"	1	554	2	0	"Genetic"
"555"	1	555	2	0	"Genetic"
"556"	1	556	2	0	"Genetic"
"557"	1	557	2	0	"Genetic"
"558"	1	558	2	0	"Genetic"
"559"	2	559	2	0	"Genetic"
"560"	3	560	2	0	"Genetic"
"561"	3	561	2	0	"Genetic"
"562"	3	562	2	0	"Genetic"
"563"	3	563	2	1	"Genetic"
"564"	3	564	2	0	"Genetic"
"565"	4	565	2	2	"Genetic"
"566"	4	566	2	0	"Genetic"
"567"	4	567	2	0	"Genetic"
"568"	4	568	2	1	"Genetic"
"569"	6	569	2	0	"Genetic"
"570"	6	570	2	1	"Genetic"
"571"	6	571	2	1	"Genetic"
